157 , Milan , 5-2 , Cremonese
158 , Milan , 0-2 , Genova 1893
159 , Milan , 1-1 , Juventus
160 , Milan , 2-2 , Lazio
161 , Milan , 2-2 , Livorno
162 , Milan , 1-0 , Modena
163 , Milan , 2-2 , Napoli
164 , Milan , 6-0 , Padova
165 , Milan , 3-2 , Pro Patria
166 , Milan , 3-0 , Pro Vercelli
167 , Milan , 3-1 , Roma
168 , Milan , 1-2 , Torino
169 , Milan , 2-1 , Triestina
170 , Modena , 0-1 , Alessandria
171 , Modena , 2-0 , Ambrosiana
172 , Modena , 1-2 , Bologna
173 , Modena , 2-1 , Brescia
174 , Modena , 5-1 , Cremonese
175 , Modena , 2-1 , Genova 1893
176 , Modena , 2-1 , Juventus
177 , Modena , 0-0 , Lazio
178 , Modena , 6-0 , Livorno
179 , Modena , 1-1 , Milan
180 , Modena , 0-5 , Napoli
181 , Modena , 0-2 , Padova
182 , Modena , 2-1 , Pro Patria
183 , Modena , 1-1 , Pro Vercelli
184 , Modena , 1-2 , Roma
185 , Modena , 2-1 , Torino
186 , Modena , 2-1 , Triestina
187 , Napoli , 3-1 , Alessandria
188 , Napoli , 3-1 , Ambrosiana
189 , Napoli , 2-1 , Bologna
190 , Napoli , 1-1 , Brescia
191 , Napoli , 3-0 , Cremonese
192 , Napoli , 1-2 , Genova 1893
193 , Napoli , 2-2 , Juventus
194 , Napoli , 3-0 , Lazio
195 , Napoli , 1-1 , Livorno
196 , Napoli , 2-1 , Milan
197 , Napoli , 2-1 , Modena
198 , Napoli , 1-0 , Padova
199 , Napoli , 4-2 , Pro Patria
200 , Napoli , 1-1 , Pro Vercelli
201 , Napoli , 1-1 , Roma
202 , Napoli , 2-0 , Torino
203 , Napoli , 4-1 , Triestina
204 , Padova , 1-3 , Alessandria
205 , Padova , 1-2 , Ambrosiana
206 , Padova , 2-3 , Bologna
207 , Padova , 2-1 , Brescia
208 , Padova , 0-1 , Cremonese
209 , Padova , 0-0 , Genova 1893
210 , Padova , 2-1 , Juventus
211 , Padova , 2-1 , Lazio
212 , Padova , 3-1 , Livorno
213 , Padova , 1-1 , Milan
214 , Padova , 1-3 , Modena
215 , Padova , 3-0 , Napoli
216 , Padova , 7-0 , Pro Patria
217 , Padova , 5-0 , Pro Vercelli
218 , Padova , 3-0 , Roma
219 , Padova , 1-0 , Torino
220 , Padova , 1-2 , Triestina
221 , Pro Patria , 4-0 , Alessandria
222 , Pro Patria , 0-0 , Ambrosiana
223 , Pro Patria , 2-1 , Bologna
224 , Pro Patria , 2-0 , Brescia
225 , Pro Patria , 4-2 , Cremonese
226 , Pro Patria , 0-1 , Genova 1893
227 , Pro Patria , 0-1 , Juventus
228 , Pro Patria , 0-0 , Lazio
229 , Pro Patria , 5-0 , Livorno
230 , Pro Patria , 2-1 , Milan
231 , Pro Patria , 2-0 , Modena
232 , Pro Patria , 3-2 , Napoli
233 , Pro Patria , 0-0 , Padova
234 , Pro Patria , 1-0 , Pro Vercelli
235 , Pro Patria , 6-1 , Roma
236 , Pro Patria , 1-0 , Torino
237 , Pro Patria , 1-1 , Triestina
238 , Pro Vercelli , 2-2 , Alessandria
239 , Pro Vercelli , 1-0 , Ambrosiana
240 , Pro Vercelli , 2-2 , Bologna
241 , Pro Vercelli , 2-0 , Brescia
242 , Pro Vercelli , 3-2 , Cremonese
243 , Pro Vercelli , 3-3 , Genova 1893
244 , Pro Vercelli , 1-0 , Juventus
245 , Pro Vercelli , 3-1 , Lazio
246 , Pro Vercelli , 4-1 , Livorno
247 , Pro Vercelli , 0-1 , Milan
248 , Pro Vercelli , 2-1 , Modena
249 , Pro Vercelli , 4-0 , Napoli
250 , Pro Vercelli , 5-1 , Padova
251 , Pro Vercelli , 0-0 , Pro Patria
252 , Pro Vercelli , 2-0 , Roma
253 , Pro Vercelli , 0-2 , Torino
254 , Pro Vercelli , 6-0 , Triestina
255 , Roma , 1-1 , Alessandria
256 , Roma , 2-0 , Ambrosiana
257 , Roma , 2-2 , Bologna
258 , Roma , 2-1 , Brescia
259 , Roma , 9-0 , Cremonese
260 , Roma , 2-0 , Genova 1893
261 , Roma , 2-3 , Juventus
262 , Roma , 3-1 , Lazio
263 , Roma , 2-0 , Livorno
264 , Roma , 1-0 , Milan
265 , Roma , 4-2 , Modena
266 , Roma , 2-2 , Napoli
267 , Roma , 8-0 , Padova
268 , Roma , 5-0 , Pro Patria
269 , Roma , 7-0 , Pro Vercelli
270 , Roma , 3-0 , Torino
271 , Roma , 5-0 , Triestina
272 , Torino , 2-2 , Alessandria
273 , Torino , 4-1 , Ambrosiana
274 , Torino , 0-0 , Bologna
275 , Torino , 5-0 , Brescia
276 , Torino , 2-3 , Cremonese
277 , Torino , 1-1 , Genova 1893
278 , Torino , 0-0 , Juventus
279 , Torino , 1-0 , Lazio
280 , Torino , 3-0 , Livorno
281 , Torino , 0-0 , Milan
282 , Torino , 0-0 , Modena
283 , Torino , 1-0 , Napoli
284 , Torino , 3-1 , Padova
285 , Torino , 7-0 , Pro Patria
286 , Torino , 5-1 , Pro Vercelli
287 , Torino , 1-0 , Roma
288 , Torino , 4-1 , Triestina
289 , Triestina , 1-0 , Alessandria
290 , Triestina , 1-2 , Ambrosiana
291 , Triestina , 0-1 , Bologna
292 , Triestina , 1-0 , Brescia
293 , Triestina , 4-0 , Cremonese
294 , Triestina , 0-2 , Genova 1893
295 , Triestina , 0-1 , Juventus
296 , Triestina , 3-3 , Lazio
297 , Triestina , 3-0 , Livorno
298 , Triestina , 2-2 , Milan
299 , Triestina , 0-1 , Modena
300 , Triestina , 3-4 , Napoli
301 , Triestina , 2-1 , Padova
302 , Triestina , 2-1 , Pro Patria
303 , Triestina , 3-1 , Pro Vercelli
304 , Triestina , 1-1 , Roma
305 , Triestina , 0-1 , Torino
shortNames:,,Home ╲ Away,Alessandria !ALE,Ambrosiana !AMB,Bologna !BOL,Brescia !BRE,Cremonese !CRE,Genova 1893 !GEN,Juventus !JUV,Lazio !LAZ,Livorno !LIV,Milan !MIL,Modena !MOD,Napoli !NAP,Padova !PAD,Pro Patria !PPA,Pro Vercelli !PVE,Roma !ROM,Torino !TOR,Triestina !TRI
fullNames:,,Alessandria,Ambrosiana,Bologna,Brescia,Cremonese,Genova 1893,Juventus,Lazio,Livorno,Milan,Modena,Napoli,Padova,Pro Patria,Pro Vercelli,Roma,Torino,Triestina
