163 , Juventus , 1-0 , Modena
164 , Juventus , 1-0 , Napoli
165 , Juventus , 4-0 , Roma
166 , Juventus , 2-1 , Sampdoria
167 , Juventus , 0-1 , Torino
168 , Juventus , 4-0 , Triestina
169 , Juventus , 7-3 , Venezia
170 , Juventus , 1-2 , Vicenza
171 , Lazio , 3-1 , Alessandria
172 , Lazio , 0-0 , Atalanta
173 , Lazio , 0-1 , Bari
174 , Lazio , 3-1 , Bologna
175 , Lazio , 6-3 , Brescia
176 , Lazio , 3-0 , Fiorentina
177 , Lazio , 1-1 , Genoa
178 , Lazio , 0-1 , Internazionale
179 , Lazio , 1-2 , Juventus
180 , Lazio , 3-0 , Livorno
181 , Lazio , 1-1 , Milan
182 , Lazio , 1-2 , Modena
183 , Lazio , 2-1 , Napoli
184 , Lazio , 0-0 , Roma
185 , Lazio , 4-0 , Sampdoria
186 , Lazio , 1-2 , Torino
187 , Lazio , 3-0 , Triestina
188 , Lazio , 3-1 , Venezia
189 , Lazio , 1-1 , Vicenza
190 , Livorno , 4-2 , Alessandria
191 , Livorno , 0-0 , Atalanta
192 , Livorno , 0-0 , Bari
193 , Livorno , 1-1 , Bologna
194 , Livorno , 2-2 , Brescia
195 , Livorno , 2-1 , Fiorentina
196 , Livorno , 1-1 , Genoa
197 , Livorno , 3-1 , Internazionale
198 , Livorno , 2-2 , Juventus
199 , Livorno , 1-1 , Lazio
200 , Livorno , 2-2 , Milan
201 , Livorno , 0-1 , Modena
202 , Livorno , 2-2 , Napoli
203 , Livorno , 4-1 , Roma
204 , Livorno , 0-0 , Sampdoria
205 , Livorno , 0-2 , Torino
206 , Livorno , 3-0 , Triestina
207 , Livorno , 0-0 , Venezia
208 , Livorno , 3-0 , Vicenza
209 , Milan , 4-0 , Alessandria
210 , Milan , 0-0 , Atalanta
211 , Milan , 0-2 , Bari
212 , Milan , 4-2 , Bologna
213 , Milan , 2-1 , Brescia
214 , Milan , 2-2 , Fiorentina
215 , Milan , 4-1 , Genoa
216 , Milan , 3-1 , Internazionale
217 , Milan , 3-3 , Juventus
218 , Milan , 0-0 , Lazio
219 , Milan , 2-2 , Livorno
220 , Milan , 1-1 , Modena
221 , Milan , 4-2 , Napoli
222 , Milan , 3-1 , Roma
223 , Milan , 1-0 , Sampdoria
224 , Milan , 1-2 , Torino
225 , Milan , 3-0 , Triestina
226 , Milan , 3-2 , Venezia
227 , Milan , 2-3 , Vicenza
228 , Modena , 0-0 , Alessandria
229 , Modena , 0-0 , Atalanta
230 , Modena , 0-1 , Bari
231 , Modena , 1-0 , Bologna
232 , Modena , 1-1 , Brescia
233 , Modena , 3-0 , Fiorentina
234 , Modena , 2-1 , Genoa
235 , Modena , 1-0 , Internazionale
236 , Modena , 1-0 , Juventus
237 , Modena , 2-1 , Lazio
238 , Modena , 1-0 , Livorno
239 , Modena , 2-1 , Milan
240 , Modena , 6-1 , Napoli
241 , Modena , 1-0 , Roma
242 , Modena , 1-0 , Sampdoria
243 , Modena , 2-4 , Torino
244 , Modena , 0-1 , Triestina
245 , Modena , 2-0 , Venezia
246 , Modena , 1-0 , Vicenza
247 , Napoli , 2-1 , Alessandria
248 , Napoli , 3-1 , Atalanta
249 , Napoli , 5-1 , Bari
