164 , Milan , 1-2 , Perugia
165 , Milan , 1-0 , Reggina
166 , Milan , 3-2 , Roma
167 , Milan , 3-0 , Udinese
168 , Milan , 1-0 , Hellas Verona
169 , Milan , 2-0 , Vicenza
170 , Napoli , 0-0 , Atalanta
171 , Napoli , 1-0 , Bari
172 , Napoli , 1-5 , Bologna
173 , Napoli , 1-1 , Brescia
174 , Napoli , 1-0 , Fiorentina
175 , Napoli , 1-0 , Internazionale
176 , Napoli , 1-2 , Juventus
177 , Napoli , 2-4 , Lazio
178 , Napoli , 1-1 , Lecce
179 , Napoli , 0-0 , Milan
180 , Napoli , 2-2 , Parma
181 , Napoli , 0-0 , Perugia
182 , Napoli , 6-2 , Reggina
183 , Napoli , 2-2 , Roma
184 , Napoli , 0-1 , Udinese
185 , Napoli , 2-0 , Hellas Verona
186 , Napoli , 1-2 , Vicenza
187 , Parma , 2-0 , Atalanta
188 , Parma , 4-0 , Bari
189 , Parma , 0-0 , Bologna
190 , Parma , 3-0 , Brescia
191 , Parma , 2-2 , Fiorentina
192 , Parma , 3-1 , Internazionale
193 , Parma , 0-0 , Juventus
194 , Parma , 2-0 , Lazio
195 , Parma , 1-1 , Lecce
196 , Parma , 2-0 , Milan
197 , Parma , 4-0 , Napoli
198 , Parma , 5-0 , Perugia
199 , Parma , 0-2 , Reggina
200 , Parma , 1-2 , Roma
201 , Parma , 2-0 , Udinese
202 , Parma , 1-2 , Hellas Verona
203 , Parma , 0-2 , Vicenza
204 , Perugia , 2-2 , Atalanta
205 , Perugia , 4-1 , Bari
206 , Perugia , 1-3 , Bologna
207 , Perugia , 2-2 , Brescia
208 , Perugia , 2-2 , Fiorentina
209 , Perugia , 2-3 , Internazionale
210 , Perugia , 0-1 , Juventus
211 , Perugia , 0-1 , Lazio
212 , Perugia , 1-1 , Lecce
213 , Perugia , 2-1 , Milan
214 , Perugia , 1-1 , Napoli
215 , Perugia , 3-1 , Parma
216 , Perugia , 1-1 , Reggina
217 , Perugia , 0-0 , Roma
218 , Perugia , 3-1 , Udinese
219 , Perugia , 1-0 , Hellas Verona
220 , Perugia , 1-0 , Vicenza
221 , Reggina , 1-0 , Atalanta
222 , Reggina , 1-0 , Bari
223 , Reggina , 2-1 , Bologna
224 , Reggina , 0-3 , Brescia
225 , Reggina , 1-1 , Fiorentina
226 , Reggina , 2-1 , Internazionale
227 , Reggina , 0-2 , Juventus
228 , Reggina , 0-2 , Lazio
229 , Reggina , 0-1 , Lecce
230 , Reggina , 2-1 , Milan
231 , Reggina , 3-1 , Napoli
232 , Reggina , 2-0 , Parma
233 , Reggina , 0-2 , Perugia
234 , Reggina , 0-0 , Roma
235 , Reggina , 1-1 , Udinese
236 , Reggina , 1-1 , Hellas Verona
237 , Reggina , 1-0 , Vicenza
