147 , Livorno , 0-0 , Triestina
148 , Livorno , 2-1 , Venezia
149 , Livorno , 2-0 , Vicenza
150 , Milano , 0-3 , Ambrosiana-Inter
151 , Milano , 0-1 , Atalanta
152 , Milano , 3-1 , Bari
153 , Milano , 3-2 , Bologna
154 , Milano , 1-3 , Fiorentina
155 , Milano , 0-0 , Genova 1893
156 , Milano , 2-0 , Juventus Cisitalia
157 , Milano , 4-1 , Lazio
158 , Milano , 0-0 , Liguria
159 , Milano , 1-1 , Livorno
160 , Milano , 4-1 , Roma
161 , Milano , 1-0 , Torino
162 , Milano , 2-0 , Triestina
163 , Milano , 1-2 , Venezia
164 , Milano , 1-1 , Vicenza
165 , Roma , 1-3 , Ambrosiana-Inter
166 , Roma , 2-1 , Atalanta
167 , Roma , 1-0 , Bari
168 , Roma , 1-1 , Bologna
169 , Roma , 1-0 , Fiorentina
170 , Roma , 2-3 , Genova 1893
171 , Roma , 1-2 , Juventus Cisitalia
172 , Roma , 1-0 , Lazio
173 , Roma , 5-1 , Liguria
174 , Roma , 1-0 , Livorno
175 , Roma , 1-1 , Milano
176 , Roma , 0-4 , Torino
177 , Roma , 1-2 , Triestina
178 , Roma , 2-1 , Venezia
179 , Roma , 1-0 , Vicenza
180 , Torino , 1-3 , Ambrosiana-Inter
181 , Torino , 4-2 , Atalanta
182 , Torino , 3-0 , Bari
183 , Torino , 2-1 , Bologna
184 , Torino , 5-0 , Fiorentina
185 , Torino , 3-1 , Genova 1893
186 , Torino , 2-0 , Juventus Cisitalia
187 , Torino , 2-2 , Lazio
188 , Torino , 3-0 , Liguria
189 , Torino , 1-2 , Livorno
190 , Torino , 0-1 , Milano
191 , Torino , 4-0 , Roma
192 , Torino , 4-1 , Triestina
193 , Torino , 3-1 , Venezia
194 , Torino , 0-0 , Vicenza
195 , Triestina , 0-0 , Ambrosiana-Inter
196 , Triestina , 0-1 , Atalanta
197 , Triestina , 1-1 , Bari
198 , Triestina , 0-0 , Bologna
199 , Triestina , 3-0 , Fiorentina
200 , Triestina , 0-1 , Genova 1893
201 , Triestina , 1-1 , Juventus Cisitalia
202 , Triestina , 0-0 , Lazio
203 , Triestina , 3-1 , Liguria
204 , Triestina , 1-1 , Livorno
205 , Triestina , 0-1 , Milano
206 , Triestina , 2-0 , Roma
207 , Triestina , 2-3 , Torino
208 , Triestina , 1-1 , Venezia
209 , Triestina , 2-0 , Vicenza
210 , Venezia , 0-2 , Ambrosiana-Inter
211 , Venezia , 1-1 , Atalanta
212 , Venezia , 0-0 , Bari
213 , Venezia , 1-0 , Bologna
214 , Venezia , 2-2 , Fiorentina
215 , Venezia , 4-1 , Genova 1893
216 , Venezia , 1-1 , Juventus Cisitalia
217 , Venezia , 2-1 , Lazio
218 , Venezia , 1-0 , Liguria
219 , Venezia , 0-1 , Livorno
220 , Venezia , 1-3 , Milano
221 , Venezia , 0-0 , Roma
