164 , Napoli , 1-0 , Udinese
165 , Perugia , 0-0 , Ascoli
166 , Perugia , 0-0 , Avellino
167 , Perugia , 0-0 , Bologna
168 , Perugia , 0-0 , Brescia
169 , Perugia , 1-1 , Cagliari
170 , Perugia , 0-0 , Catanzaro
171 , Perugia , 0-0 , Como
172 , Perugia , 0-0 , Fiorentina
173 , Perugia , 0-2 , Inter
174 , Perugia , 0-0 , Juventus
175 , Perugia , 0-0 , Napoli
176 , Perugia , 3-0 , Pistoiese
177 , Perugia , 1-1 , Roma
178 , Perugia , 1-0 , Torino
179 , Perugia , 1-2 , Udinese
180 , Pistoiese , 0-1 , Ascoli
181 , Pistoiese , 2-1 , Avellino
182 , Pistoiese , 0-2 , Bologna
183 , Pistoiese , 1-0 , Brescia
184 , Pistoiese , 1-3 , Cagliari
185 , Pistoiese , 0-1 , Catanzaro
186 , Pistoiese , 2-0 , Como
187 , Pistoiese , 0-1 , Fiorentina
188 , Pistoiese , 1-2 , Inter
189 , Pistoiese , 1-3 , Juventus
190 , Pistoiese , 0-1 , Napoli
191 , Pistoiese , 1-0 , Perugia
192 , Pistoiese , 0-4 , Roma
193 , Pistoiese , 1-1 , Torino
194 , Pistoiese , 1-1 , Udinese
195 , Roma , 4-1 , Ascoli
196 , Roma , 1-1 , Avellino
197 , Roma , 1-1 , Bologna
198 , Roma , 1-0 , Brescia
199 , Roma , 1-0 , Cagliari
200 , Roma , 0-0 , Catanzaro
201 , Roma , 1-1 , Como
202 , Roma , 1-1 , Fiorentina
203 , Roma , 1-0 , Inter
204 , Roma , 0-0 , Juventus
205 , Roma , 1-1 , Napoli
206 , Roma , 5-0 , Perugia
207 , Roma , 1-0 , Pistoiese
208 , Roma , 2-0 , Torino
209 , Roma , 3-1 , Udinese
210 , Torino , 3-0 , Ascoli
211 , Torino , 2-0 , Avellino
212 , Torino , 1-2 , Bologna
213 , Torino , 1-1 , Brescia
214 , Torino , 1-2 , Cagliari
215 , Torino , 2-0 , Catanzaro
216 , Torino , 1-1 , Como
217 , Torino , 1-1 , Fiorentina
218 , Torino , 0-1 , Inter
219 , Torino , 0-2 , Juventus
220 , Torino , 0-1 , Napoli
221 , Torino , 2-0 , Perugia
222 , Torino , 1-0 , Pistoiese
223 , Torino , 0-2 , Roma
224 , Torino , 0-0 , Udinese
225 , Udinese , 0-0 , Ascoli
226 , Udinese , 5-4 , Avellino
227 , Udinese , 1-1 , Bologna
228 , Udinese , 0-0 , Brescia
229 , Udinese , 2-2 , Cagliari
230 , Udinese , 2-1 , Catanzaro
231 , Udinese , 2-0 , Como
232 , Udinese , 0-0 , Fiorentina
233 , Udinese , 0-4 , Inter
234 , Udinese , 0-2 , Juventus
235 , Udinese , 2-1 , Napoli
236 , Udinese , 1-1 , Perugia
237 , Udinese , 1-0 , Pistoiese
238 , Udinese , 0-2 , Roma
239 , Udinese , 0-0 , Torino
shortNames:,,,Ascoli,Avellino,Bologna,Brescia,Cagliari,Catanzaro,Como,Fiorentina,Inter,Juventus,Napoli,Perugia,Pistoiese,Roma,Torino,Udinese
fullNames:,,Ascoli,Avellino,Bologna,Brescia,Cagliari,Catanzaro,Como,Fiorentina,Inter,Juventus,Napoli,Perugia,Pistoiese,Roma,Torino,Udinese
