0 , Arsenal , 2-0 , Aston Villa
1 , Arsenal , 0-0 , Birmingham City
2 , Arsenal , 1-0 , Blackburn Rovers
3 , Arsenal , 2-1 , Bolton Wanderers
4 , Arsenal , 2-1 , Charlton Athletic
5 , Arsenal , 2-1 , Chelsea
6 , Arsenal , 2-1 , Everton
7 , Arsenal , 0-0 , Fulham
8 , Arsenal , 5-0 , Leeds United
9 , Arsenal , 2-1 , Leicester City
10 , Arsenal , 4-2 , Liverpool
11 , Arsenal , 2-1 , Manchester City
12 , Arsenal , 1-1 , Manchester United
13 , Arsenal , 4-1 , Middlesbrough
14 , Arsenal , 3-2 , Newcastle United
15 , Arsenal , 1-1 , Portsmouth
16 , Arsenal , 2-0 , Southampton
17 , Arsenal , 2-1 , Tottenham Hotspur
18 , Arsenal , 3-0 , Wolverhampton Wanderers
19 , Aston Villa , 0-2 , Arsenal
20 , Aston Villa , 2-2 , Birmingham City
21 , Aston Villa , 0-2 , Blackburn Rovers
22 , Aston Villa , 1-1 , Bolton Wanderers
23 , Aston Villa , 2-1 , Charlton Athletic
24 , Aston Villa , 3-2 , Chelsea
25 , Aston Villa , 0-0 , Everton
26 , Aston Villa , 3-0 , Fulham
27 , Aston Villa , 2-0 , Leeds United
28 , Aston Villa , 3-1 , Leicester City
29 , Aston Villa , 0-0 , Liverpool
30 , Aston Villa , 1-1 , Manchester City
31 , Aston Villa , 0-2 , Manchester United
32 , Aston Villa , 0-2 , Middlesbrough
33 , Aston Villa , 0-0 , Newcastle United
34 , Aston Villa , 2-1 , Portsmouth
35 , Aston Villa , 1-0 , Southampton
36 , Aston Villa , 1-0 , Tottenham Hotspur
37 , Aston Villa , 3-2 , Wolverhampton Wanderers
38 , Birmingham City , 0-3 , Arsenal
39 , Birmingham City , 0-0 , Aston Villa
40 , Birmingham City , 0-4 , Blackburn Rovers
41 , Birmingham City , 2-0 , Bolton Wanderers
42 , Birmingham City , 1-2 , Charlton Athletic
43 , Birmingham City , 0-0 , Chelsea
44 , Birmingham City , 3-0 , Everton
45 , Birmingham City , 2-2 , Fulham
46 , Birmingham City , 4-1 , Leeds United
47 , Birmingham City , 0-1 , Leicester City
48 , Birmingham City , 0-3 , Liverpool
49 , Birmingham City , 2-1 , Manchester City
50 , Birmingham City , 1-2 , Manchester United
51 , Birmingham City , 3-1 , Middlesbrough
52 , Birmingham City , 1-1 , Newcastle United
53 , Birmingham City , 2-0 , Portsmouth
54 , Birmingham City , 2-1 , Southampton
55 , Birmingham City , 1-0 , Tottenham Hotspur
56 , Birmingham City , 2-2 , Wolverhampton Wanderers
57 , Blackburn Rovers , 0-2 , Arsenal
58 , Blackburn Rovers , 0-2 , Aston Villa
59 , Blackburn Rovers , 1-1 , Birmingham City
60 , Blackburn Rovers , 3-4 , Bolton Wanderers
61 , Blackburn Rovers , 0-1 , Charlton Athletic
62 , Blackburn Rovers , 2-3 , Chelsea
63 , Blackburn Rovers , 2-1 , Everton
64 , Blackburn Rovers , 0-2 , Fulham
65 , Blackburn Rovers , 1-2 , Leeds United
66 , Blackburn Rovers , 1-0 , Leicester City
67 , Blackburn Rovers , 1-3 , Liverpool
68 , Blackburn Rovers , 2-3 , Manchester City
69 , Blackburn Rovers , 1-0 , Manchester United
70 , Blackburn Rovers , 2-2 , Middlesbrough
71 , Blackburn Rovers , 1-1 , Newcastle United
72 , Blackburn Rovers , 1-2 , Portsmouth
73 , Blackburn Rovers , 1-1 , Southampton
74 , Blackburn Rovers , 1-0 , Tottenham Hotspur
75 , Blackburn Rovers , 5-1 , Wolverhampton Wanderers
76 , Bolton Wanderers , 1-1 , Arsenal
77 , Bolton Wanderers , 2-2 , Aston Villa
78 , Bolton Wanderers , 0-1 , Birmingham City
79 , Bolton Wanderers , 2-2 , Blackburn Rovers
80 , Bolton Wanderers , 0-0 , Charlton Athletic
