153 , Napoli , 0-1 , Bologna
154 , Napoli , 1-0 , Brescia
155 , Napoli , 4-0 , Fiorentina
156 , Napoli , 2-1 , Genova 1893
157 , Napoli , 0-1 , Juventus
158 , Napoli , 1-2 , Lazio
159 , Napoli , 1-0 , Milan
160 , Napoli , 3-0 , Palermo
161 , Napoli , 1-2 , Roma
162 , Napoli , 4-2 , Sampierdarenese
163 , Napoli , 0-1 , Torino
164 , Napoli , 2-2 , Triestina
165 , Palermo , 1-0 , Alessandria
166 , Palermo , 1-1 , Ambrosiana-Inter
167 , Palermo , 2-1 , Bari
168 , Palermo , 2-0 , Bologna
169 , Palermo , 3-2 , Brescia
170 , Palermo , 1-3 , Fiorentina
171 , Palermo , 0-1 , Genova 1893
172 , Palermo , 1-0 , Juventus
173 , Palermo , 2-1 , Lazio
174 , Palermo , 0-0 , Milan
175 , Palermo , 2-2 , Napoli
176 , Palermo , 1-3 , Roma
177 , Palermo , 2-0 , Sampierdarenese
178 , Palermo , 0-1 , Torino
179 , Palermo , 1-0 , Triestina
180 , Roma , 3-1 , Alessandria
181 , Roma , 0-0 , Ambrosiana-Inter
182 , Roma , 3-0 , Bari
183 , Roma , 1-0 , Bologna
184 , Roma , 1-0 , Brescia
185 , Roma , 0-1 , Fiorentina
186 , Roma , 0-0 , Genova 1893
187 , Roma , 1-1 , Juventus
188 , Roma , 1-0 , Lazio
189 , Roma , 0-0 , Milan
190 , Roma , 1-0 , Napoli
191 , Roma , 0-1 , Palermo
192 , Roma , 2-0 , Sampierdarenese
193 , Roma , 1-0 , Torino
194 , Roma , 1-0 , Triestina
195 , Sampierdarenese , 1-1 , Alessandria
196 , Sampierdarenese , 1-0 , Ambrosiana-Inter
197 , Sampierdarenese , 2-1 , Bari
198 , Sampierdarenese , 0-0 , Bologna
199 , Sampierdarenese , 2-0 , Brescia
200 , Sampierdarenese , 1-0 , Fiorentina
201 , Sampierdarenese , 1-2 , Genova 1893
202 , Sampierdarenese , 0-1 , Juventus
203 , Sampierdarenese , 2-2 , Lazio
204 , Sampierdarenese , 3-1 , Milan
205 , Sampierdarenese , 2-2 , Napoli
206 , Sampierdarenese , 2-0 , Palermo
207 , Sampierdarenese , 0-2 , Roma
208 , Sampierdarenese , 2-0 , Torino
209 , Sampierdarenese , 2-2 , Triestina
210 , Torino , 1-0 , Alessandria
