164 , Napoli , 0-1 , Hellas Verona
165 , Perugia , 1-1 , Ascoli
166 , Perugia , 1-1 , Bologna
167 , Perugia , 4-1 , Cagliari
168 , Perugia , 1-0 , Cesena
169 , Perugia , 2-0 , Como
170 , Perugia , 2-1 , Fiorentina
171 , Perugia , 1-1 , Internazionale
172 , Perugia , 1-0 , Juventus
173 , Perugia , 2-0 , Lazio
174 , Perugia , 0-0 , Milan
175 , Perugia , 2-2 , Napoli
176 , Perugia , 0-1 , Roma
177 , Perugia , 0-0 , Sampdoria
178 , Perugia , 2-1 , Torino
179 , Perugia , 1-0 , Hellas Verona
180 , Roma , 1-1 , Ascoli
181 , Roma , 0-0 , Bologna
182 , Roma , 1-1 , Cagliari
183 , Roma , 2-2 , Cesena
184 , Roma , 2-1 , Como
185 , Roma , 2-2 , Fiorentina
186 , Roma , 1-1 , Internazionale
187 , Roma , 0-1 , Juventus
188 , Roma , 0-0 , Lazio
189 , Roma , 0-0 , Milan
190 , Roma , 0-3 , Napoli
191 , Roma , 1-2 , Perugia
192 , Roma , 1-0 , Sampdoria
193 , Roma , 1-1 , Torino
194 , Roma , 2-0 , Hellas Verona
195 , Sampdoria , 1-0 , Ascoli
196 , Sampdoria , 0-1 , Bologna
197 , Sampdoria , 2-1 , Cagliari
198 , Sampdoria , 0-1 , Cesena
199 , Sampdoria , 1-0 , Como
200 , Sampdoria , 0-0 , Fiorentina
201 , Sampdoria , 0-2 , Internazionale
202 , Sampdoria , 0-2 , Juventus
203 , Sampdoria , 0-1 , Lazio
204 , Sampdoria , 0-1 , Milan
205 , Sampdoria , 2-1 , Napoli
206 , Sampdoria , 3-1 , Perugia
207 , Sampdoria , 1-0 , Roma
208 , Sampdoria , 0-0 , Torino
209 , Sampdoria , 2-0 , Hellas Verona
210 , Torino , 3-1 , Ascoli
211 , Torino , 3-1 , Bologna
212 , Torino , 5-1 , Cagliari
213 , Torino , 1-1 , Cesena
214 , Torino , 1-0 , Como
215 , Torino , 4-3 , Fiorentina
216 , Torino , 2-1 , Internazionale
217 , Torino , 2-0 , Juventus
218 , Torino , 2-1 , Lazio
219 , Torino , 2-1 , Milan
220 , Torino , 3-1 , Napoli
221 , Torino , 3-0 , Perugia
222 , Torino , 1-0 , Roma
223 , Torino , 2-0 , Sampdoria
224 , Torino , 4-2 , Hellas Verona
225 , Hellas Verona , 1-0 , Ascoli
226 , Hellas Verona , 1-0 , Bologna
227 , Hellas Verona , 2-1 , Cagliari
228 , Hellas Verona , 2-2 , Cesena
229 , Hellas Verona , 3-2 , Como
230 , Hellas Verona , 1-2 , Fiorentina
231 , Hellas Verona , 1-1 , Internazionale
232 , Hellas Verona , 1-2 , Juventus
233 , Hellas Verona , 2-2 , Lazio
234 , Hellas Verona , 2-2 , Milan
235 , Hellas Verona , 2-4 , Napoli
236 , Hellas Verona , 3-1 , Perugia
237 , Hellas Verona , 0-1 , Roma
238 , Hellas Verona , 4-1 , Sampdoria
239 , Hellas Verona , 0-0 , Torino
shortNames:,,Home ╲ Away,Ascoli !ASC,Bologna !BOL,Cagliari !CAG,Cesena !CES,Como !COM,Fiorentina !FIO,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Perugia !PER,Roma !ROM,Sampdoria !SAM,Torino !TOR,Hellas Verona !HEL
fullNames:,,Ascoli,Bologna,Cagliari,Cesena,Como,Fiorentina,Internazionale,Juventus,Lazio,Milan,Napoli,Perugia,Roma,Sampdoria,Torino,Hellas Verona
