161 , Napoli , 1-0 , Roma
162 , Napoli , 1-1 , Sampdoria
163 , Napoli , 0-0 , Torino
164 , Napoli , 3-0 , Hellas Verona
165 , Perugia , 1-0 , Bologna
166 , Perugia , 1-1 , Catanzaro
167 , Perugia , 1-0 , Cesena
168 , Perugia , 0-0 , Fiorentina
169 , Perugia , 1-0 , Foggia
170 , Perugia , 2-1 , Genoa
171 , Perugia , 0-1 , Internazionale
172 , Perugia , 1-1 , Juventus
173 , Perugia , 2-0 , Lazio
174 , Perugia , 3-1 , Milan
175 , Perugia , 4-2 , Napoli
176 , Perugia , 3-0 , Roma
177 , Perugia , 0-0 , Sampdoria
178 , Perugia , 1-1 , Torino
179 , Perugia , 1-1 , Hellas Verona
180 , Roma , 1-0 , Bologna
181 , Roma , 1-0 , Catanzaro
182 , Roma , 2-0 , Cesena
183 , Roma , 0-0 , Fiorentina
184 , Roma , 3-1 , Foggia
185 , Roma , 1-0 , Genoa
186 , Roma , 2-3 , Internazionale
187 , Roma , 3-1 , Juventus
188 , Roma , 1-0 , Lazio
189 , Roma , 1-1 , Milan
190 , Roma , 0-0 , Napoli
191 , Roma , 2-2 , Perugia
192 , Roma , 3-0 , Sampdoria
193 , Roma , 1-0 , Torino
194 , Roma , 0-0 , Hellas Verona
195 , Sampdoria , 0-0 , Bologna
196 , Sampdoria , 3-1 , Catanzaro
197 , Sampdoria , 2-1 , Cesena
198 , Sampdoria , 2-2 , Fiorentina
199 , Sampdoria , 2-1 , Foggia
200 , Sampdoria , 1-2 , Genoa
201 , Sampdoria , 0-1 , Internazionale
202 , Sampdoria , 0-2 , Juventus
203 , Sampdoria , 0-0 , Lazio
204 , Sampdoria , 0-0 , Milan
205 , Sampdoria , 2-2 , Napoli
206 , Sampdoria , 2-0 , Perugia
207 , Sampdoria , 1-0 , Roma
208 , Sampdoria , 2-3 , Torino
209 , Sampdoria , 3-1 , Hellas Verona
210 , Torino , 1-0 , Bologna
211 , Torino , 3-1 , Catanzaro
